201  156401 |Loss: 0.017 | Acc: 98.438% 
201  156402 |Loss: 0.010 | Acc: 99.219% 
201  156403 |Loss: 0.009 | Acc: 99.479% 
201  156404 |Loss: 0.008 | Acc: 99.609% 
201  156405 |Loss: 0.007 | Acc: 99.688% 
201  156406 |Loss: 0.006 | Acc: 99.740% 
201  156407 |Loss: 0.005 | Acc: 99.777% 
201  156408 |Loss: 0.006 | Acc: 99.805% 
201  156409 |Loss: 0.006 | Acc: 99.826% 
201  156410 |Loss: 0.005 | Acc: 99.844% 
201  156411 |Loss: 0.005 | Acc: 99.858% 
201  156412 |Loss: 0.005 | Acc: 99.870% 
201  156413 |Loss: 0.005 | Acc: 99.880% 
201  156414 |Loss: 0.004 | Acc: 99.888% 
201  156415 |Loss: 0.004 | Acc: 99.896% 
201  156416 |Loss: 0.005 | Acc: 99.902% 
201  156417 |Loss: 0.005 | Acc: 99.908% 
201  156418 |Loss: 0.006 | Acc: 99.826% 
201  156419 |Loss: 0.006 | Acc: 99.836% 
201  156420 |Loss: 0.006 | Acc: 99.844% 
201  156421 |Loss: 0.006 | Acc: 99.851% 
201  156422 |Loss: 0.006 | Acc: 99.858% 
201  156423 |Loss: 0.006 | Acc: 99.864% 
201  156424 |Loss: 0.005 | Acc: 99.870% 
201  156425 |Loss: 0.005 | Acc: 99.875% 
201  156426 |Loss: 0.005 | Acc: 99.880% 
201  156427 |Loss: 0.005 | Acc: 99.884% 
201  156428 |Loss: 0.005 | Acc: 99.888% 
201  156429 |Loss: 0.005 | Acc: 99.892% 
201  156430 |Loss: 0.005 | Acc: 99.896% 
201  156431 |Loss: 0.005 | Acc: 99.899% 
201  156432 |Loss: 0.004 | Acc: 99.902% 
201  156433 |Loss: 0.004 | Acc: 99.905% 
201  156434 |Loss: 0.004 | Acc: 99.908% 
201  156435 |Loss: 0.004 | Acc: 99.911% 
201  156436 |Loss: 0.004 | Acc: 99.913% 
201  156437 |Loss: 0.004 | Acc: 99.916% 
201  156438 |Loss: 0.004 | Acc: 99.918% 
201  156439 |Loss: 0.004 | Acc: 99.920% 
201  156440 |Loss: 0.004 | Acc: 99.922% 
201  156441 |Loss: 0.004 | Acc: 99.924% 
201  156442 |Loss: 0.004 | Acc: 99.926% 
201  156443 |Loss: 0.004 | Acc: 99.927% 
201  156444 |Loss: 0.004 | Acc: 99.929% 
201  156445 |Loss: 0.004 | Acc: 99.931% 
201  156446 |Loss: 0.004 | Acc: 99.932% 
201  156447 |Loss: 0.004 | Acc: 99.934% 
201  156448 |Loss: 0.004 | Acc: 99.935% 
201  156449 |Loss: 0.004 | Acc: 99.936% 
201  156450 |Loss: 0.004 | Acc: 99.938% 
201  156451 |Loss: 0.004 | Acc: 99.939% 
201  156452 |Loss: 0.004 | Acc: 99.940% 
201  156453 |Loss: 0.004 | Acc: 99.941% 
201  156454 |Loss: 0.004 | Acc: 99.942% 
201  156455 |Loss: 0.004 | Acc: 99.943% 
201  156456 |Loss: 0.004 | Acc: 99.944% 
201  156457 |Loss: 0.004 | Acc: 99.945% 
201  156458 |Loss: 0.004 | Acc: 99.946% 
201  156459 |Loss: 0.004 | Acc: 99.947% 
201  156460 |Loss: 0.004 | Acc: 99.948% 
201  156461 |Loss: 0.004 | Acc: 99.949% 
201  156462 |Loss: 0.004 | Acc: 99.950% 
201  156463 |Loss: 0.004 | Acc: 99.950% 
201  156464 |Loss: 0.004 | Acc: 99.951% 
201  156465 |Loss: 0.003 | Acc: 99.952% 
201  156466 |Loss: 0.004 | Acc: 99.953% 
201  156467 |Loss: 0.003 | Acc: 99.953% 
201  156468 |Loss: 0.004 | Acc: 99.954% 
201  156469 |Loss: 0.004 | Acc: 99.955% 
201  156470 |Loss: 0.004 | Acc: 99.955% 
201  156471 |Loss: 0.004 | Acc: 99.956% 
201  156472 |Loss: 0.004 | Acc: 99.957% 
201  156473 |Loss: 0.004 | Acc: 99.957% 
201  156474 |Loss: 0.004 | Acc: 99.958% 
201  156475 |Loss: 0.004 | Acc: 99.958% 
201  156476 |Loss: 0.004 | Acc: 99.959% 
201  156477 |Loss: 0.004 | Acc: 99.959% 
201  156478 |Loss: 0.004 | Acc: 99.960% 
201  156479 |Loss: 0.004 | Acc: 99.960% 
201  156480 |Loss: 0.003 | Acc: 99.961% 
201  156481 |Loss: 0.004 | Acc: 99.961% 
201  156482 |Loss: 0.004 | Acc: 99.962% 
201  156483 |Loss: 0.004 | Acc: 99.962% 
201  156484 |Loss: 0.004 | Acc: 99.963% 
201  156485 |Loss: 0.004 | Acc: 99.963% 
201  156486 |Loss: 0.004 | Acc: 99.964% 
