136  52786 |Loss: 0.270 | Acc: 95.312% 
136  52787 |Loss: 0.185 | Acc: 95.703% 
136  52788 |Loss: 0.147 | Acc: 96.094% 
136  52789 |Loss: 0.123 | Acc: 96.680% 
136  52790 |Loss: 0.127 | Acc: 96.719% 
136  52791 |Loss: 0.126 | Acc: 96.615% 
136  52792 |Loss: 0.121 | Acc: 96.875% 
136  52793 |Loss: 0.121 | Acc: 96.680% 
136  52794 |Loss: 0.114 | Acc: 96.788% 
136  52795 |Loss: 0.111 | Acc: 96.875% 
136  52796 |Loss: 0.108 | Acc: 96.875% 
136  52797 |Loss: 0.107 | Acc: 96.940% 
136  52798 |Loss: 0.101 | Acc: 97.115% 
136  52799 |Loss: 0.106 | Acc: 96.931% 
136  52800 |Loss: 0.104 | Acc: 96.875% 
136  52801 |Loss: 0.101 | Acc: 96.924% 
136  52802 |Loss: 0.100 | Acc: 96.967% 
136  52803 |Loss: 0.104 | Acc: 96.832% 
136  52804 |Loss: 0.102 | Acc: 96.834% 
136  52805 |Loss: 0.101 | Acc: 96.875% 
136  52806 |Loss: 0.101 | Acc: 96.838% 
136  52807 |Loss: 0.102 | Acc: 96.804% 
136  52808 |Loss: 0.103 | Acc: 96.739% 
136  52809 |Loss: 0.101 | Acc: 96.810% 
136  52810 |Loss: 0.100 | Acc: 96.812% 
136  52811 |Loss: 0.104 | Acc: 96.725% 
136  52812 |Loss: 0.101 | Acc: 96.788% 
136  52813 |Loss: 0.104 | Acc: 96.763% 
136  52814 |Loss: 0.103 | Acc: 96.821% 
136  52815 |Loss: 0.105 | Acc: 96.797% 
136  52816 |Loss: 0.103 | Acc: 96.900% 
136  52817 |Loss: 0.102 | Acc: 96.924% 
136  52818 |Loss: 0.104 | Acc: 96.922% 
136  52819 |Loss: 0.103 | Acc: 96.967% 
136  52820 |Loss: 0.102 | Acc: 96.964% 
136  52821 |Loss: 0.101 | Acc: 97.005% 
136  52822 |Loss: 0.101 | Acc: 96.981% 
136  52823 |Loss: 0.102 | Acc: 96.978% 
136  52824 |Loss: 0.102 | Acc: 96.955% 
136  52825 |Loss: 0.104 | Acc: 96.934% 
136  52826 |Loss: 0.103 | Acc: 96.932% 
136  52827 |Loss: 0.103 | Acc: 96.931% 
136  52828 |Loss: 0.103 | Acc: 96.966% 
136  52829 |Loss: 0.103 | Acc: 96.964% 
136  52830 |Loss: 0.101 | Acc: 97.014% 
136  52831 |Loss: 0.101 | Acc: 96.977% 
136  52832 |Loss: 0.100 | Acc: 97.025% 
136  52833 |Loss: 0.099 | Acc: 97.087% 
136  52834 |Loss: 0.097 | Acc: 97.114% 
136  52835 |Loss: 0.098 | Acc: 97.109% 
136  52836 |Loss: 0.097 | Acc: 97.166% 
136  52837 |Loss: 0.096 | Acc: 97.175% 
136  52838 |Loss: 0.096 | Acc: 97.170% 
136  52839 |Loss: 0.096 | Acc: 97.150% 
136  52840 |Loss: 0.097 | Acc: 97.131% 
136  52841 |Loss: 0.096 | Acc: 97.168% 
136  52842 |Loss: 0.095 | Acc: 97.149% 
136  52843 |Loss: 0.096 | Acc: 97.104% 
136  52844 |Loss: 0.096 | Acc: 97.087% 
136  52845 |Loss: 0.095 | Acc: 97.109% 
136  52846 |Loss: 0.095 | Acc: 97.093% 
136  52847 |Loss: 0.094 | Acc: 97.140% 
136  52848 |Loss: 0.093 | Acc: 97.173% 
136  52849 |Loss: 0.092 | Acc: 97.205% 
136  52850 |Loss: 0.094 | Acc: 97.212% 
136  52851 |Loss: 0.094 | Acc: 97.206% 
136  52852 |Loss: 0.094 | Acc: 97.213% 
136  52853 |Loss: 0.094 | Acc: 97.208% 
136  52854 |Loss: 0.093 | Acc: 97.215% 
136  52855 |Loss: 0.092 | Acc: 97.243% 
136  52856 |Loss: 0.092 | Acc: 97.249% 
136  52857 |Loss: 0.092 | Acc: 97.244% 
136  52858 |Loss: 0.091 | Acc: 97.239% 
136  52859 |Loss: 0.092 | Acc: 97.202% 
136  52860 |Loss: 0.092 | Acc: 97.167% 
136  52861 |Loss: 0.091 | Acc: 97.194% 
136  52862 |Loss: 0.091 | Acc: 97.210% 
136  52863 |Loss: 0.091 | Acc: 97.236% 
136  52864 |Loss: 0.091 | Acc: 97.211% 
136  52865 |Loss: 0.091 | Acc: 97.207% 
136  52866 |Loss: 0.090 | Acc: 97.232% 
136  52867 |Loss: 0.090 | Acc: 97.247% 
136  52868 |Loss: 0.089 | Acc: 97.233% 
136  52869 |Loss: 0.090 | Acc: 97.219% 
136  52870 |Loss: 0.089 | Acc: 97.252% 
136  52871 |Loss: 0.089 | Acc: 97.257% 
136  52872 |Loss: 0.089 | Acc: 97.252% 
136  52873 |Loss: 0.088 | Acc: 97.275% 
136  52874 |Loss: 0.088 | Acc: 97.296% 
136  52875 |Loss: 0.088 | Acc: 97.292% 
136  52876 |Loss: 0.087 | Acc: 97.304% 
136  52877 |Loss: 0.087 | Acc: 97.291% 
136  52878 |Loss: 0.087 | Acc: 97.287% 
136  52879 |Loss: 0.087 | Acc: 97.274% 
136  52880 |Loss: 0.086 | Acc: 97.294% 
136  52881 |Loss: 0.086 | Acc: 97.306% 
136  52882 |Loss: 0.086 | Acc: 97.318% 
136  52883 |Loss: 0.085 | Acc: 97.337% 
136  52884 |Loss: 0.085 | Acc: 97.356% 
136  52885 |Loss: 0.084 | Acc: 97.375% 
136  52886 |Loss: 0.083 | Acc: 97.401% 
136  52887 |Loss: 0.083 | Acc: 97.388% 
136  52888 |Loss: 0.083 | Acc: 97.398% 
136  52889 |Loss: 0.083 | Acc: 97.401% 
136  52890 |Loss: 0.083 | Acc: 97.396% 
136  52891 |Loss: 0.083 | Acc: 97.398% 
136  52892 |Loss: 0.084 | Acc: 97.357% 
136  52893 |Loss: 0.084 | Acc: 97.367% 
136  52894 |Loss: 0.084 | Acc: 97.377% 
136  52895 |Loss: 0.083 | Acc: 97.393% 
136  52896 |Loss: 0.083 | Acc: 97.396% 
136  52897 |Loss: 0.083 | Acc: 97.384% 
136  52898 |Loss: 0.084 | Acc: 97.359% 
136  52899 |Loss: 0.084 | Acc: 97.341% 
136  52900 |Loss: 0.083 | Acc: 97.364% 
136  52901 |Loss: 0.083 | Acc: 97.367% 
